s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/2W-W-3/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:921353
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/2W-4/1W-4/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1052425
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/2W-4/2W-3/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:987145
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/2WW4/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1118217
s-p-r-s-p-r-/p-r-s-wwr-s-p-/3W-2/4W-2/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1445641
s-p-r-s-p-r-/p-r-s-wwr-s-p-/4W-1/4W-2/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1445897
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/3W-W-2/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1118217
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4W-W-1/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:985090
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4W-2/3W-2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:921353
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4W-2/4W-1/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1447177
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4WW2/6/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:853504
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/2W-4/2W-3/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1052425
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/3W-3/2W-3/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:921353
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/1W-W-3/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1447177
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/2W-W-2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1380105
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/2W-3/P-S-R-W-S-R-P-/R-P-S-R-P-S- b 1 1:1050889
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/2WW3/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/2W-3/P-S-R-W-S-R-P-/R-P-S-R-P-S- b 1 1:459009
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/3W-3/3W-2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:921353
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4W-2/3W-2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:921353
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/2W-W-2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1447177
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3W-W-1/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1447689
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3W-2/P-S-R-W-S-R-P-/R-P-S-R-P-S- b 1 1:919554
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3WW2/P-S-R-1S-R-P-/R-P-S-R-P-S- b 1 1:1116675
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3W-2/P-S-R-W-S-R-P-/R-P-S-R-P-S- b 1 1:1052425
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3S-2/P-S-R-WW1R-P-/R-P-S-R-P-S- b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4S-1/P-S-R-WW1R-P-/R-P-S-R-P-S- b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4RS2/6/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1510149
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/6RS/6/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1641221
